id_vivienda,id_hogar,sexo,fecha_nacimiento,edad,estado_actividad,nivel_educativo,ingreso,prestamo_personas,prestamo_banco,compra_cuotas
TQRMNORXSHLMMLCDEFKID00803704,1,2,1900-01-01 00:00:00,46,1,6,1900000.0,1,1,2
TQRMNOTQWHLNMMCDEFIAH00803398,1,1,1966-10-17 00:00:00,58,1,1,400000.0,2,2,2
TQRMNOTQWHLNMMCDEFIAH00803398,1,2,1978-09-18 00:00:00,46,1,1,71000.0,2,2,2
TQRMNOSYSHJOLSCDEFJAH00863385,1,1,1979-02-23 00:00:00,45,1,3,900000.0,2,2,1
TQRMNOSYSHJOLSCDEFJAH00863385,1,2,1983-01-06 00:00:00,41,1,3,300000.0,2,2,1
TQRMNORTXHJNKTCDEIMBF00863352,1,1,1980-01-23 00:00:00,44,1,2,750000.0,1,2,2
TQRMNORWXHJNKNCDEGJBF00863134,1,1,2005-12-31 00:00:00,18,1,3,140000.0,2,2,2
TQRMNORSSHMMLLCDEGJBF00810079,1,2,1970-12-23 00:00:00,53,1,6,1415000.0,1,2,1
TQRMNOPWSHKOKQCDEGJBF00868604,1,2,1950-01-16 00:00:00,74,3,3,395000.0,2,2,2
TQRMNOPYVHMNLMCDEGJBF00809971,2,1,1961-02-03 00:00:00,63,1,3,300000.0,2,2,2
TQRMNOPVXHKNKRCDEGJBF00868605,1,2,1950-04-07 00:00:00,74,3,2,290000.0,2,2,1
TQRMNOPVXHKNKRCDEGJBF00868605,1,1,1948-11-22 00:00:00,75,3,3,290000.0,2,2,1
TQRMNOQUTHMMLNCDEGJBF00810095,1,1,1954-04-22 00:00:00,70,3,4,380400.0,2,2,1
TQRMNOQUTHMMLNCDEGJBF00810095,1,2,1993-11-21 00:00:00,30,1,6,70000.0,2,2,1
TQRMNORVXHKMKUCDEGJBF00868606,1,1,1959-03-01 00:00:00,65,1,3,350000.0,2,2,1
TQRMNORVXHKMKUCDEGJBF00868606,1,2,1959-12-21 00:00:00,64,3,4,450000.0,2,2,1
TQRMNOQXPHKOKOCDEFJAH00868732,1,1,1900-01-01 00:00:00,85,3,2,380396.0,2,2,2
TQRMNOQXPHKOKOCDEFJAH00868732,1,2,1977-09-30 00:00:00,46,1,5,300000.0,2,2,2
TQRMNOTSPHKOKOCDEFJAH00868733,1,1,1976-01-14 00:00:00,48,1,5,1000000.0,2,2,2
TQRMNORQTHJMKPCDEFMDB00868768,1,2,1979-09-22 00:00:00,45,1,5,530000.0,1,1,1
TQRMNORUPHJMLLCDEGKDB00862570,1,1,1900-01-01 00:00:00,56,3,2,180000.0,2,2,2
TQRMNORUPHJMLLCDEGKDB00862570,1,1,1994-08-14 00:00:00,29,1,3,340000.0,2,2,2
TQRMNOPRTHMKLMCDEGKDB00810125,1,1,1973-09-17 00:00:00,50,1,6,1300000.0,2,2,2
TQRMNOPRTHMKLMCDEGKDB00810125,1,2,1978-10-01 00:00:00,45,1,4,600000.0,2,2,2
TQRMNOPRTHMKLMCDEGKDB00810125,1,2,2002-06-29 00:00:00,22,1,6,200000.0,2,2,2
TQRMNOQRXHMKLMCDEGKDB00810126,1,2,1935-12-09 00:00:00,88,3,4,750000.0,2,2,2
TQRMNOQSPHMKLMCDEGKDB00810176,1,2,1994-06-29 00:00:00,30,1,5,645000.0,2,2,2
TQRMNOQSPHMKLMCDEGKDB00810176,1,1,2002-10-15 00:00:00,21,1,4,250000.0,2,2,2
TQRMNORXTHKMKOCDEFMDB00868339,1,1,1990-11-16 00:00:00,33,1,5,500000.0,1,2,1
TQRMNORXTHKMKOCDEFMDB00868339,1,2,1992-11-19 00:00:00,31,1,6,500000.0,1,2,1
TQRMNOQSTHKMKQCDEFMDB00868340,1,2,1964-03-20 00:00:00,60,1,4,800000.0,2,2,1
TQRMNOTWVHKOKUCDEFMDB00868341,1,1,1995-12-21 00:00:00,28,1,3,580000.0,2,2,1
TQRMNORUSHKOLLCDEFMDB00868342,1,1,1994-07-16 00:00:00,30,1,6,600000.0,2,1,1
TQRMNOPWWHMOLMCDEFMDB00809245,1,2,1900-01-01 00:00:00,57,1,4,520000.0,2,2,1
TQRMNOPWWHMOLMCDEFMDB00809245,1,1,1900-01-01 00:00:00,62,3,4,280000.0,2,2,1
TQRMNOPWWHMOLMCDEFMDB00809245,1,1,1900-01-01 00:00:00,34,1,6,300000.0,2,2,1
TQRMNOSWTHKMLMCDEFMDB00868343,1,1,1961-07-07 00:00:00,63,1,3,800000.0,2,2,1
TQRMNOSWTHKMLMCDEFMDB00868343,1,1,2002-03-06 00:00:00,22,1,3,500000.0,2,2,1
TQRMNORQSHLMKSCDEFMDB00868412,1,1,1991-12-10 00:00:00,32,1,4,500000.0,2,2,1
TQRMNOTRXHMOKTCDEFMDB00809248,1,2,1955-08-15 00:00:00,69,3,4,415000.0,2,2,2
TQRMNOTRXHMOKTCDEFMDB00809248,1,1,1957-04-07 00:00:00,67,3,2,410000.0,2,2,2
TQRMNOTRYHMOKTCDEFMDB00809240,1,2,1960-02-17 00:00:00,64,3,1,400000.0,2,1,1
TQRMNOTSQHMOKTCDEFMDB00809249,1,2,1945-01-06 00:00:00,79,3,2,340000.0,2,2,2
TQRMNOTSQHMOKTCDEFMDB00809249,1,1,1977-11-01 00:00:00,46,1,2,78000.0,2,2,2
TQRMNOTSQHMOKTCDEFMDB00809249,1,2,1984-01-22 00:00:00,40,1,3,78000.0,2,2,2
TQSMNORQPHKMKSCDEFMDB00868438,1,1,1980-12-06 00:00:00,43,1,2,300000.0,2,2,2
TQSMNORQPHKMKSCDEFMDB00868438,1,2,1984-01-21 00:00:00,40,3,4,30000.0,2,2,2
TQSMNORQPHKMKSCDEFMDB00868438,1,2,2004-07-09 00:00:00,20,3,3,16000.0,2,2,2
TQRMNOQPSHKMLQCDEFMDB00868440,1,2,1969-09-11 00:00:00,54,1,5,200000.0,1,2,2
TQRMNOPSVHKMKMCDEGKDB00868441,1,2,1948-07-17 00:00:00,76,3,1,200000.0,2,2,2
TQRMNOQPQHKMKMCDEGKDB00868442,1,1,1900-01-01 00:00:00,65,3,7,250000.0,2,2,2
TQRMNORVQHKMKNCDEGKDB00868443,1,1,1960-12-23 00:00:00,63,1,1,700000.0,2,1,1
TQRMNOSRPHKMKRCDEGKDB00868444,1,2,1989-02-08 00:00:00,35,3,3,88000.0,2,1,2
TQRMNOSRPHKMKRCDEGKDB00868444,1,1,1981-12-02 00:00:00,42,1,3,400000.0,2,1,2
TQRMNOSYUHJOLSCDEFJAH00863071,1,1,1974-01-08 00:00:00,50,1,4,1000000.0,1,2,1
TQRMNOSYUHJOLSCDEFJAH00863071,1,1,1981-09-14 00:00:00,42,1,4,500000.0,1,2,1
TQRMNOTPTHMKLPCDEFJAH00851652,1,1,1962-07-04 00:00:00,62,1,6,500000.0,2,2,1
TQRMNOTPTHMKLPCDEFJAH00851652,1,2,1962-07-25 00:00:00,62,3,3,520000.0,2,2,1
TQRMNOQXPHKOKRCDEGKDB00868575,1,1,1941-01-01 00:00:00,83,3,1,250000.0,2,2,2
TQRMNOQXPHKOKRCDEGKDB00868575,1,2,1955-04-15 00:00:00,69,3,3,200000.0,2,2,2
TQRMNOQSYHKOKSCDEGKDB00868576,1,2,1977-08-05 00:00:00,47,1,4,570000.0,1,1,1
TQRMNOQSYHKOKSCDEGKDB00868576,1,2,2000-08-03 00:00:00,23,3,4,150000.0,1,1,1
TQRMNOQSYHKOKSCDEGKDB00868576,1,1,1900-01-01 00:00:00,24,1,4,400000.0,1,1,1
TQRMNOPYWHMMKTCDEGKDB00810200,1,2,1952-02-27 00:00:00,72,1,4,890000.0,2,2,2
TQRMNORQPHMMKTCDEGKDB00810182,1,1,1900-01-01 00:00:00,53,3,1,149000.0,2,2,2
TQRMNORQPHMMKTCDEGKDB00810182,1,1,1900-01-01 00:00:00,49,3,1,149000.0,2,2,2
TQRMNORQPHMMKTCDEGKDB00810182,1,2,1900-01-01 00:00:00,50,3,1,149000.0,2,2,2
TQRMNORQPHMMKTCDEGKDB00810182,1,2,1900-01-01 00:00:00,46,3,1,149000.0,2,2,2
TQRMNORQPHMMKTCDEGKDB00810182,1,2,1900-01-01 00:00:00,37,3,3,60000.0,2,2,2
TQRMNOQRPHLOKSCDEFJAH00868734,1,1,1968-02-27 00:00:00,56,2,2,190000.0,2,2,2
TQRMNOQRPHLOKSCDEFJAH00868734,1,1,1991-03-21 00:00:00,33,1,2,240000.0,2,2,2
TQRMNOPUXHKLKPCDEFJAH00868735,1,1,1946-10-30 00:00:00,77,3,2,1000000.0,2,2,1
TQRMNOQYSHKLKPCDEFJAH00868736,1,2,1947-09-11 00:00:00,77,3,6,1200000.0,2,2,1
TQRMNOQYSHKLKPCDEFJAH00868736,1,1,1949-01-05 00:00:00,75,3,4,800000.0,2,2,1
TQRMNOSXTHKKKSCDEFJAH00868737,1,1,1944-01-11 00:00:00,80,3,6,800000.0,2,2,1
TQRMNOSXTHKKKSCDEFJAH00868737,1,2,1948-01-01 00:00:00,76,3,6,600000.0,2,2,1
TQRMNOSXWHKKKSCDEFJAH00868738,1,1,2001-02-16 00:00:00,23,3,5,580000.0,2,2,1
TQRMNOSTQHLMLLCDEFJAH00803539,1,1,1984-08-27 00:00:00,39,1,6,1550000.0,2,2,1
TQRMNOSTQHLMLLCDEFJAH00803539,1,2,1986-10-21 00:00:00,37,1,4,800000.0,2,2,1
TQRMNOPXPHJOKTCDEFMDB00862914,1,2,1954-06-01 00:00:00,70,3,6,412000.0,2,2,1
TQRMNOPXPHJOKTCDEFMDB00862914,1,1,1954-08-27 00:00:00,69,3,6,270000.0,2,2,1
TQRMNOQPSHMMKUCDEFMDB00852152,1,2,1980-05-18 00:00:00,44,1,4,600000.0,2,2,1
TQRMNOQPSHMMKUCDEFMDB00852152,1,1,1975-07-11 00:00:00,49,1,4,200000.0,2,2,1
TQRMNOTYQHJOKOCDEFLID00862990,1,2,1981-09-19 00:00:00,42,1,2,360000.0,2,2,2
TQRMNOTYQHJOKOCDEFLID00862990,1,1,1970-01-16 00:00:00,54,1,2,800000.0,2,2,2
TQRMNOTYQHJOKOCDEFLID00862990,1,2,1997-05-05 00:00:00,27,1,4,350000.0,2,2,2
TQRMNOSPXHJOKOCDEGKDB00862558,1,1,1980-10-08 00:00:00,44,1,2,200000.0,1,1,1
TQRMNOSPXHJOKOCDEGKDB00862558,1,2,1981-06-18 00:00:00,43,1,2,267000.0,1,1,1
TQRMNOPSXHJNKMCDEIGED00504340,1,1,1972-01-29 00:00:00,52,1,2,300000.0,2,2,1
TQRMNOPYSHJMKNCDEIGED00862640,1,2,1900-01-01 00:00:00,23,1,4,200000.0,2,1,1
TQRMNOPYSHJMKNCDEIGED00862640,1,2,1900-01-01 00:00:00,45,3,3,26000.0,2,1,1
TQRMNOPYSHJMKNCDEIGED00862640,1,2,1900-01-01 00:00:00,25,3,1,205000.0,2,1,1
TQRMNOPYSHJMKNCDEIGED00862640,1,1,1900-01-01 00:00:00,19,1,3,600000.0,2,1,1
TQRMNORSTHJMKNCDEIGED00862974,1,1,1900-01-01 00:00:00,32,1,3,300000.0,1,2,2
TQRMNOQRUHKOKTCDEFMDB00868413,1,2,1976-04-14 00:00:00,48,1,4,198000.0,1,2,1
TQRMNOQRUHKOKTCDEFMDB00868413,1,2,1997-05-31 00:00:00,27,3,3,100000.0,1,2,1
TQRMNOQRUHKOKTCDEFMDB00868413,1,2,2003-01-27 00:00:00,21,2,3,100000.0,1,2,1
TQRMNOQRUHKOKTCDEFMDB00868413,1,1,2004-06-11 00:00:00,20,1,3,522000.0,1,2,1
TQRMNOSQQHKOKTCDEFMDB00868414,1,2,1961-12-21 00:00:00,62,3,3,530000.0,2,2,2
TQRMNOSQQHKOKTCDEFMDB00868414,1,1,1950-09-27 00:00:00,73,3,2,520000.0,2,2,2
TQRMNOSVPHKMKSCDEGKDB00868445,1,1,1900-01-01 00:00:00,52,1,1,1000000.0,2,2,2
TQRMNOPXWHLLKPCDEIOAH00808233,1,2,1900-01-01 00:00:00,61,1,6,200000.0,2,2,1
TQRMNORWQHJKKPCDEIOAH00863037,1,2,1992-09-28 00:00:00,32,1,4,450000.0,2,2,2
TQRMNORVPHKMLMCDEFKID00868509,1,2,1972-10-25 00:00:00,51,1,5,290000.0,1,2,1
TQRMNORVPHKMLMCDEFKID00868509,1,1,2001-08-30 00:00:00,22,1,5,100000.0,1,2,1
TQRMNOSTQHMOKNCDEIMBF00813096,1,2,1976-06-01 00:00:00,48,1,2,310000.0,2,2,2
TQRMNOSTQHMOKNCDEIMBF00813096,1,2,2001-02-22 00:00:00,23,1,4,525000.0,2,2,2
TQRMNOQRSHKNKNCDEIMBF00868550,1,2,1971-09-09 00:00:00,52,1,3,735000.0,1,1,2
TQRMNOPSRHMMKQCDEIMBF00813081,1,1,1988-05-16 00:00:00,36,1,3,200000.0,2,2,2
TQRMNORQWHJMKUCDEFMDB00863171,1,1,1954-06-15 00:00:00,70,3,4,600000.0,2,2,1
TQRMNORQWHJMKUCDEFMDB00863171,1,2,1958-07-29 00:00:00,66,3,4,285000.0,2,2,1
TQRMNOTRYHKOKUCDEFMDB00868577,1,2,1964-08-13 00:00:00,60,1,2,400000.0,2,2,1
TQRMNOPYTHJMLLCDEFMDB00868578,1,2,1960-08-19 00:00:00,64,3,6,1000000.0,2,2,1
TQRMNORUQHKOLLCDEFMDB00868579,1,2,1978-09-11 00:00:00,45,1,6,800000.0,2,2,2
TQRMNORUQHKOLLCDEFMDB00868579,1,1,1977-07-06 00:00:00,47,1,6,850000.0,2,2,2
TQRMNORURHKOLLCDEFMDB00868580,1,2,1987-06-16 00:00:00,37,1,6,1300000.0,2,2,2
TQRMNORURHKOLLCDEFMDB00868580,1,1,2002-07-31 00:00:00,22,3,5,200000.0,2,2,2
TQRMNORUTHKOLLCDEFMDB00868581,1,1,1994-08-16 00:00:00,29,1,4,800000.0,2,2,2
TQRMNORQXHLOLRCDEIKAH00807967,1,1,1950-06-29 00:00:00,74,3,4,660000.0,2,2,2
TQRMNOPVRHKOMPCDEFKID00868740,1,2,1997-06-03 00:00:00,27,3,3,90000.0,1,2,1
TQRMNOPVQHJMMLCDEFKID00863640,1,2,1900-01-01 00:00:00,58,3,4,345000.0,2,2,1
TQRMNOPVQHJMMLCDEFKID00863640,1,1,1900-01-01 00:00:00,26,1,5,750000.0,2,2,1
TQRMNOPVQHJMMLCDEFKID00863640,1,1,1900-01-01 00:00:00,20,1,5,750000.0,2,2,1
TQRMNOSVSHMOMPCDEFKID00808989,1,1,1976-01-03 00:00:00,48,1,5,2000000.0,2,2,2
TQRMNOSVSHMOMPCDEFKID00808989,1,2,1972-11-02 00:00:00,50,1,2,370000.0,2,2,2
TQRMNOQSRHLMKRCDEFLID00803882,1,1,1947-08-08 00:00:00,77,3,2,380000.0,2,2,2
TQRMNOQSRHLMKRCDEFLID00803882,1,2,1951-06-24 00:00:00,73,3,2,200000.0,2,2,2
TQRMNOPXVHLOKTCDEFLID00803868,1,1,1979-08-05 00:00:00,44,1,4,750000.0,2,2,1
TQRMNOPWQHMMLNCDEFIAH00856362,1,2,1983-08-01 00:00:00,41,1,5,703000.0,2,2,1
TQRMNORSQHLMLPCDEFIAH00868771,1,2,1900-01-01 00:00:00,27,3,5,500000.0,1,2,1
TQRMNOPSRHKMLMCDEFIAH00868772,1,1,1978-07-04 00:00:00,46,1,4,420000.0,2,2,1
TQRMNOPSRHKMLMCDEFIAH00868772,1,2,1977-06-07 00:00:00,47,1,4,225000.0,2,2,1
